"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.bowlerhat.co.uk/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=6.1.6","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","6","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.066","Thu, 02 Jul 2026 08:47:35 GMT","","","","","1.1","","","","","","https://www.bowlerhat.co.uk/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=6.1.6","2026-07-30 14:25:37"
"https://www.bowlerhat.co.uk/wp-includes/js/dist/hooks.min.js?ver=7496969728ca0f95732d","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.050","Mon, 08 Jun 2026 15:47:42 GMT","","","","","1.1","","","","","","https://www.bowlerhat.co.uk/wp-includes/js/dist/hooks.min.js?ver=7496969728ca0f95732d","2026-07-30 14:25:37"
"https://www.bowlerhat.co.uk/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=6.6.9","text/css","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","7","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.050","Thu, 02 Jul 2026 08:47:47 GMT","","","","","1.1","","","","","","https://www.bowlerhat.co.uk/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=6.6.9","2026-07-30 14:25:37"
"https://www.bowlerhat.co.uk/wp-content/uploads/2020/09/MarketingLand-logo-1-300x71.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","6581","6581","6581","2.521","","0","","","","","0.000","2","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.052","Mon, 25 Apr 2022 14:45:20 GMT","","","","","1.1","","","","","","https://www.bowlerhat.co.uk/wp-content/uploads/2020/09/MarketingLand-logo-1-300x71.png","2026-07-30 14:25:37"
"https://www.bowlerhat.co.uk/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3","text/css","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","7","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.052","Thu, 02 Jul 2026 08:47:43 GMT","","","","","1.1","","","","","","https://www.bowlerhat.co.uk/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3","2026-07-30 14:25:37"
"https://www.bowlerhat.co.uk/wp-content/plugins/widget-google-reviews/assets/6.9.7/css/public-main.css","text/css","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","6","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.020","Thu, 02 Jul 2026 08:47:54 GMT","","","","","1.1","","","","","","https://www.bowlerhat.co.uk/wp-content/plugins/widget-google-reviews/assets/6.9.7/css/public-main.css","2026-07-30 14:25:37"
"https://www.bowlerhat.co.uk/services/content-marketing/","text/html; charset=UTF-8","200","OK","Indexable","","Content Marketing Agency | Birmingham, UK - Bowler Hat","54","509","Expand your audience and illustrate your credibility with content marketing. We build a detailed content marketing plan that's specific to you.","143","864","","0","0","","0","Content","7","","0","Content Marketing","17","Content Marketing Help and Advice","33","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.bowlerhat.co.uk/services/content-marketing/","","","","","","147268","25237","25237","9.668","","501","93","5.387","78.266","Fairly Easy","2.862","2","2","","1350","672","0","99.700","78","38","0","9","5","0","","","","","e231089b468d897f3c901058e8cc3aac","0.082","Thu, 30 Jul 2026 13:21:54 GMT","","","","en-US","1.1","","","","","","https://www.bowlerhat.co.uk/services/content-marketing/","2026-07-30 14:25:37"
"https://www.bowlerhat.co.uk/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=4.1.4","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.049","Thu, 02 Jul 2026 08:47:43 GMT","","","","","1.1","","","","","","https://www.bowlerhat.co.uk/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=4.1.4","2026-07-30 14:25:37"
"https://www.bowlerhat.co.uk/wp-content/plugins/addon-elements-for-elementor-page-builder/build/index.min.js?ver=1.14.5","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.035","Tue, 07 Apr 2026 09:43:55 GMT","","","","","1.1","","","","","","https://www.bowlerhat.co.uk/wp-content/plugins/addon-elements-for-elementor-page-builder/build/index.min.js?ver=1.14.5","2026-07-30 14:25:37"
"https://www.bowlerhat.co.uk/wp-content/plugins/elementor-pro/assets/css/modules/motion-fx.min.css?ver=4.1.2","text/css","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","6","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.061","Thu, 02 Jul 2026 08:47:44 GMT","","","","","1.1","","","","","","https://www.bowlerhat.co.uk/wp-content/plugins/elementor-pro/assets/css/modules/motion-fx.min.css?ver=4.1.2","2026-07-30 14:25:37"
